semana_inicio,total
2016-12-05,1240.0
2016-12-12,
2016-12-19,
2016-12-26,
2017-01-02,
2017-01-09,
2017-01-16,
2017-01-23,
2017-01-30,
2017-02-06,
2017-02-13,
2017-02-20,
2017-02-27,
2017-03-06,
2017-03-13,
2017-03-20,
2017-03-27,
2017-04-03,
2017-04-10,
2017-04-17,
2017-04-24,
2017-05-01,
2017-05-08,
2017-05-15,
2017-05-22,
2017-05-29,
2017-06-05,
2017-06-12,
2017-06-19,
2017-06-26,
2017-07-03,
2017-07-10,
2017-07-17,
2017-07-24,
2017-07-31,
2017-08-07,
2017-08-14,
2017-08-21,
2017-08-28,
2017-09-04,
2017-09-11,
2017-09-18,
2017-09-25,
2017-10-02,
2017-10-09,
2017-10-16,
2017-10-23,
2017-10-30,
2017-11-06,
2017-11-13,
2017-11-20,
2017-11-27,
2017-12-04,
2017-12-11,
2017-12-18,
2017-12-25,
2018-01-01,
2018-01-08,
2018-01-15,
2018-01-22,
2018-01-29,
2018-02-05,
2018-02-12,
2018-02-19,
2018-02-26,
2018-03-05,
2018-03-12,
2018-03-19,
2018-03-26,
2018-04-02,
2018-04-09,
2018-04-16,
2018-04-23,
2018-04-30,
2018-05-07,
2018-05-14,
2018-05-21,
2018-05-28,
2018-06-04,
2018-06-11,
2018-06-18,
2018-06-25,
2018-07-02,
2018-07-09,
2018-07-16,
2018-07-23,
2018-07-30,
2018-08-06,
2018-08-13,
2018-08-20,
2018-08-27,
2018-09-03,
2018-09-10,
2018-09-17,
2018-09-24,
2018-10-01,
2018-10-08,
2018-10-15,
2018-10-22,
2018-10-29,
2018-11-05,
2018-11-12,
2018-11-19,
2018-11-26,
2018-12-03,
2018-12-10,
2018-12-17,
2018-12-24,
2018-12-31,
2019-01-07,
2019-01-14,
2019-01-21,491.5
2019-01-28,
2019-02-04,
2019-02-11,
2019-02-18,
2019-02-25,
2019-03-04,
2019-03-11,
2019-03-18,
2019-03-25,
2019-04-01,
2019-04-08,
2019-04-15,
2019-04-22,
2019-04-29,
2019-05-06,
2019-05-13,
2019-05-20,
2019-05-27,
2019-06-03,
2019-06-10,
2019-06-17,612.0
2019-06-24,
2019-07-01,
2019-07-08,
2019-07-15,
2019-07-22,
2019-07-29,
2019-08-05,
2019-08-12,
2019-08-19,
2019-08-26,
2019-09-02,
2019-09-09,458.5
2019-09-16,
2019-09-23,372.5
2019-09-30,
2019-10-07,
2019-10-14,
2019-10-21,
2019-10-28,
2019-11-04,
2019-11-11,
2019-11-18,
2019-11-25,
2019-12-02,
2019-12-09,
2019-12-16,
2019-12-23,
2019-12-30,
2020-01-06,
2020-01-13,
2020-01-20,
2020-01-27,
2020-02-03,
2020-02-10,
2020-02-17,
2020-02-24,
2020-03-02,
2020-03-09,
2020-03-16,
2020-03-23,
2020-03-30,
2020-04-06,
2020-04-13,506.0
2020-04-20,
2020-04-27,
2020-05-04,
2020-05-11,
2020-05-18,200.0
2020-05-25,
2020-06-01,
2020-06-08,117.5
2020-06-15,
2020-06-22,
2020-06-29,
2020-07-06,
2020-07-13,
2020-07-20,218.0
2020-07-27,
2020-08-03,
2020-08-10,
2020-08-17,
2020-08-24,
2020-08-31,
2020-09-07,
2020-09-14,
2020-09-21,145.5
2020-09-28,
2020-10-05,63.5
2020-10-12,222.8
2020-10-19,72.0
2020-10-26,194.0
2020-11-02,
2020-11-09,
2020-11-16,59.0
2020-11-23,
2020-11-30,
2020-12-07,227.5
2020-12-14,379.5
2020-12-21,
2020-12-28,287.5
2021-01-04,
2021-01-11,
2021-01-18,
2021-01-25,
2021-02-01,
2021-02-08,
2021-02-15,214.0
2021-02-22,
2021-03-01,
2021-03-08,86.0
2021-03-15,
2021-03-22,
2021-03-29,
2021-04-05,
2021-04-12,
2021-04-19,
2021-04-26,
2021-05-03,100.0
2021-05-10,271.5
2021-05-17,118.0
2021-05-24,251.5
2021-05-31,60.0
2021-06-07,47.5
2021-06-14,35.0
2021-06-21,108.0
2021-06-28,106.5
2021-07-05,672.75
2021-07-12,672.75
2021-07-19,1128.0
2021-07-26,739.0
2021-08-02,693.0
2021-08-09,693.0
2021-08-16,693.0
2021-08-23,579.0
2021-08-30,406.0
2021-09-06,185.0
2021-09-13,166.0
2021-09-20,503.5
2021-09-27,543.2
2021-10-04,234.0
2021-10-11,133.0
2021-10-18,94.0
2021-10-25,574.0
2021-11-01,88.5
2021-11-08,205.5
2021-11-15,551.5
2021-11-22,231.0
2021-11-29,921.3
2021-12-06,1192.4
2021-12-13,581.0
2021-12-20,307.0
2021-12-27,529.24
2022-01-03,128.0
2022-01-10,981.0
2022-01-17,892.3700000000001
2022-01-24,193.0
2022-01-31,245.4
2022-02-07,886.6
2022-02-14,125.0
2022-02-21,307.0
2022-02-28,518.0
2022-03-07,538.25
2022-03-14,428.5
2022-03-21,317.5
2022-03-28,120.0
2022-04-04,545.0
2022-04-11,939.45
2022-04-18,939.45
2022-04-25,1003.0
2022-05-02,1084.45
2022-05-09,800.0
2022-05-16,874.95
2022-05-23,874.95
2022-05-30,584.0
2022-06-06,132.0
2022-06-13,122.0
2022-06-20,46.0
2022-06-27,609.4
2022-07-04,524.4
2022-07-11,524.4
2022-07-18,90.0
2022-07-25,925.5
2022-08-01,120.0
2022-08-08,80.0
2022-08-15,255.0
2022-08-22,204.5
2022-08-29,610.9
2022-09-05,257.0
2022-09-12,257.0
2022-09-19,802.0
2022-09-26,614.0
2022-10-03,70.0
2022-10-10,328.75
2022-10-17,577.5
2022-10-24,234.5
2022-10-31,80.0
2022-11-07,753.5
2022-11-14,134.5
2022-11-21,236.5
2022-11-28,961.0
2022-12-05,222.0
2022-12-12,552.0
2022-12-19,1472.5
2022-12-26,1343.4
2023-01-02,1295.4
2023-01-09,373.0
2023-01-16,1129.3899999999999
2023-01-23,789.0
2023-01-30,485.5
2023-02-06,984.22
2023-02-13,619.0
2023-02-20,163.5
2023-02-27,1386.0
2023-03-06,552.46
2023-03-13,1702.09
2023-03-20,447.22
2023-03-27,1238.0
2023-04-03,168.36
2023-04-10,380.43
2023-04-17,592.5
2023-04-24,239.07999999999998
2023-05-01,1043.8
2023-05-08,687.9
2023-05-15,55.0
2023-05-22,1213.48
2023-05-29,27.0
2023-06-05,213.0
2023-06-12,69.0
2023-06-19,425.775
2023-06-26,562.55
2023-07-03,1280.29
2023-07-10,1718.03
2023-07-17,691.0
2023-07-24,740.5699999999999
2023-07-31,1695.0
2023-08-07,691.85
2023-08-14,492.0
2023-08-21,521.0
2023-08-28,2205.0
2023-09-04,2403.35
2023-09-11,482.0
2023-09-18,385.0
2023-09-25,530.5
2023-10-02,491.0
2023-10-09,1001.0
2023-10-16,2241.17
2023-10-23,2417.785
2023-10-30,1736.8
2023-11-06,335.0
2023-11-13,655.0
2023-11-20,1125.0
2023-11-27,1042.19
2023-12-04,2524.36
2023-12-11,916.0
2023-12-18,338.75
2023-12-25,985.0
2024-01-01,65.0
2024-01-08,963.68
2024-01-15,115.0
2024-01-22,342.0
2024-01-29,891.47
2024-02-05,1221.04
2024-02-12,2375.69
2024-02-19,1693.195
2024-02-26,330.0
2024-03-04,513.0
2024-03-11,244.0
2024-03-18,803.0
2024-03-25,1362.0
2024-04-01,176.0
2024-04-08,477.8
2024-04-15,303.4
2024-04-22,129.0
2024-04-29,1472.0
2024-05-06,
2024-05-13,
2024-05-20,
2024-05-27,
2024-06-03,531.88
2024-06-10,
2024-06-17,
2024-06-24,
2024-07-01,
2024-07-08,
