semana_inicio,estado,evidencia,fecha_revision,registros_detectados
2021-05-03,desconocida,,,2
2021-05-10,desconocida,,,33
2021-05-17,desconocida,,,2
2021-05-24,desconocida,,,33
2021-05-31,desconocida,,,2
2021-06-07,desconocida,,,33
2021-06-14,desconocida,,,1
2021-06-21,desconocida,,,2
2021-06-28,desconocida,,,3
2021-07-05,desconocida,,,33
2021-07-12,desconocida,,,33
2021-07-19,desconocida,,,11
2021-07-26,desconocida,,,9
2021-08-02,desconocida,,,33
2021-08-09,desconocida,,,33
2021-08-16,desconocida,,,33
2021-08-23,desconocida,,,8
2021-08-30,desconocida,,,33
2021-09-06,desconocida,,,3
2021-09-13,desconocida,,,1
2021-09-20,desconocida,,,7
2021-09-27,desconocida,,,7
2021-10-04,desconocida,,,4
2021-10-11,desconocida,,,2
2021-10-18,desconocida,,,3
2021-10-25,desconocida,,,7
2021-11-01,desconocida,,,3
2021-11-08,desconocida,,,4
2021-11-15,desconocida,,,8
2021-11-22,desconocida,,,4
2021-11-29,desconocida,,,11
2021-12-06,desconocida,,,11
2021-12-13,desconocida,,,8
2021-12-20,desconocida,,,7
2021-12-27,desconocida,,,7
2022-01-03,desconocida,,,4
2022-01-10,desconocida,,,12
2022-01-17,desconocida,,,5
2022-01-24,desconocida,,,5
2022-01-31,desconocida,,,5
2022-02-07,desconocida,,,11
2022-02-14,desconocida,,,1
2022-02-21,desconocida,,,5
2022-02-28,desconocida,,,8
2022-03-07,desconocida,,,33
2022-03-14,desconocida,,,1
2022-03-21,desconocida,,,6
2022-03-28,desconocida,,,2
2022-04-04,desconocida,,,6
2022-04-11,desconocida,,,33
2022-04-18,desconocida,,,33
2022-04-25,desconocida,,,12
2022-05-02,desconocida,,,33
2022-05-09,desconocida,,,12
2022-05-16,desconocida,,,33
2022-05-23,desconocida,,,33
2022-05-30,desconocida,,,9
2022-06-06,desconocida,,,1
2022-06-13,desconocida,,,2
2022-06-20,desconocida,,,2
2022-06-27,desconocida,,,10
2022-07-04,desconocida,,,33
2022-07-11,desconocida,,,33
2022-07-18,desconocida,,,1
2022-07-25,desconocida,,,9
2022-08-01,desconocida,,,2
2022-08-08,desconocida,,,2
2022-08-15,desconocida,,,4
2022-08-22,desconocida,,,3
2022-08-29,desconocida,,,12
2022-09-05,desconocida,,,5
2022-09-12,desconocida,,,5
2022-09-19,desconocida,,,12
2022-09-26,desconocida,,,12
2022-10-03,desconocida,,,1
2022-10-10,desconocida,,,33
2022-10-17,desconocida,,,7
2022-10-24,desconocida,,,6
2022-10-31,desconocida,,,1
2022-11-07,desconocida,,,7
2022-11-14,desconocida,,,4
2022-11-21,desconocida,,,3
2022-11-28,desconocida,,,13
2022-12-05,desconocida,,,5
2022-12-12,desconocida,,,7
2022-12-19,desconocida,,,12
2022-12-26,desconocida,,,11
2023-01-02,desconocida,,,9
2023-01-09,desconocida,,,5
2023-01-16,desconocida,,,10
2023-01-23,desconocida,,,10
2023-01-30,desconocida,,,10
2023-02-06,desconocida,,,10
2023-02-13,desconocida,,,7
2023-02-20,desconocida,,,4
2023-02-27,desconocida,,,12
2023-03-06,desconocida,,,7
2023-03-13,desconocida,,,13
2023-03-20,desconocida,,,6
2023-03-27,desconocida,,,10
2023-04-03,desconocida,,,2
2023-04-10,desconocida,,,33
2023-04-17,desconocida,,,10
2023-04-24,desconocida,,,4
2023-05-01,desconocida,,,10
2023-05-08,desconocida,,,33
2023-05-15,desconocida,,,2
2023-05-22,desconocida,,,10
2023-05-29,desconocida,,,2
2023-06-05,desconocida,,,4
2023-06-12,desconocida,,,1
2023-06-19,desconocida,,,33
2023-06-26,desconocida,,,4
2023-07-03,desconocida,,,33
2023-07-10,desconocida,,,13
2023-07-17,desconocida,,,11
2023-07-24,desconocida,,,9
2023-07-31,desconocida,,,12
2023-08-07,desconocida,,,11
2023-08-14,desconocida,,,6
2023-08-21,desconocida,,,7
2023-08-28,desconocida,,,4
2023-09-04,desconocida,,,14
2023-09-11,desconocida,,,7
2023-09-18,desconocida,,,6
2023-09-25,desconocida,,,8
2023-10-02,desconocida,,,3
2023-10-09,desconocida,,,11
2023-10-16,desconocida,,,13
2023-10-23,desconocida,,,33
2023-10-30,desconocida,,,15
2023-11-06,desconocida,,,3
2023-11-13,desconocida,,,10
2023-11-20,desconocida,,,6
2023-11-27,desconocida,,,10
2023-12-04,desconocida,,,17
2023-12-11,desconocida,,,9
2023-12-18,desconocida,,,5
2023-12-25,desconocida,,,10
2024-01-01,desconocida,,,1
2024-01-08,desconocida,,,11
2024-01-15,desconocida,,,1
2024-01-22,desconocida,,,4
2024-01-29,desconocida,,,33
2024-02-05,desconocida,,,10
2024-02-12,desconocida,,,22
2024-02-19,desconocida,,,33
2024-02-26,desconocida,,,4
2024-03-04,desconocida,,,4
2024-03-11,desconocida,,,6
2024-03-18,desconocida,,,33
2024-03-25,desconocida,,,5
2024-04-01,desconocida,,,2
2024-04-08,desconocida,,,8
2024-04-15,desconocida,,,33
2024-04-22,desconocida,,,2
2024-04-29,desconocida,,,10
