descripcion_normalizada,insumo_id,aprobado
15-14-CHS,,False
150 CAPACILLOS,,False
2 PAQ INIX CONTENEDOR MANTECADA 25 PZ,,False
2 PAQ NESTLE CARLOS V STICK 20 PZ,,False
30*30*30,,False
31*31*20,,False
32*32*30,,False
9 COLORES,,False
AC AU800,,False
ACEITE,,False
ACEITE AURRERA 800,,False
ALAMBRE,,False
ALEGRIA CAPACILLO GOLOSINAS,,False
ALEGRIA CAPACILLO GOLOSINAS 100 PZ,,False
ALEGRIA CAPACILLO MET DORADO 50 PZ,,False
ALEGRIA CAPACILLO MORADO 100 PZ,,False
ALEGRIA CAPACILLO POLKA NEGRO 100 PZ,,False
ALEGRIA CAPACILLO VELITAS CUMPL 100 PZ,,False
ALPEZZI 14000,,False
ALPEZZI BLANCO,,False
ALPEZZI BLANCO 500 G,,False
ALPEZZI CHIPS BLANCO,,False
ALPEZZI CHIPS BLANCO 500 GR,,False
AMBIANTE,,False
AU AZUCAR,,False
AU HUEVO 1,,False
AZUCAR,,False
AZUCAR ESTANDAR,,False
AZUCAR GLASS,,False
AZUCAR GLASS DE PRIME,,False
AZUCAR GLASS DE PRIMERA,,False
BAILEY'S,,False
BASE,,False
BASE 25 CM DOBLE,,False
BASE 25 X 35,,False
BASE 25X35,,False
BASE 26 CM,,False
BASE 28,,False
BASE 28 CM,,False
BASE 28 CM DOBLE,,False
BASE 28 DOBLE,,False
BASE 28CM,,False
BASE 30 CM,,False
BASE 32,,False
BASE 32CM DOBLE,,False
BASE 33 X 33,,False
BASE 33X33,,False
BASE 36 DOBLE,,False
BASE 36CM DOBLE,,False
BASE 40 CM DOBLE,,False
BASE D LISTON,,False
BASE DE LISTON #26,,False
BASE DOBLE 28,,False
BASE DOBLE 32 CM,,False
BASE DORADA PASTELOSO 28 CM,,False
BASE DORADA PASTELOSO 30CM,,False
BASE DORADA PASTELOSO 32CM,,False
BASE DORADA PASTELOSO 46X66 CM,,False
BASE EXTRAFUERTE 20 CM C/ BLONDA,,False
BASE FANSASIA PASTELOSO 28 CM,,False
BASE FANTASIA PASTELOSO 28CM,,False
BASE PLATEADA PASTELOSO 18 CM,,False
BASE PLATEADA PASTELOSO 30 CM,,False
BASE PLATEADA PASTELOSO 30CM,,False
BASE PLATEADA PASTELOSO 35X47CM,,False
BASES 28 CM,,False
BASES PARA PASTEL 28,,False
BASES PARA PASTEL 30,,False
BISAGRA 12 CUPCAKES,,False
BOLSA,,False
BOLSA 10X15,,False
BOLSA DE CELOFAN,,False
BOLSA G,,False
BOLSA JUMBO,,False
BONDI MEGA WEBO LATE DISTROLLER,,False
BOTELLAS JACK DANIELS,,False
BOWL MEZCL,,False
BRILLO ESTRELLA,,False
BROCHETA BAMBCO 30 CM,,False
CACAHUATE ESPANOL,,False
CACAO BREMEN,,False
CAJA 12 CUPCAKES,,False
CAJA 17X11X3,,False
CAJA 6 CUPCAKES,,False
CAJA ACETATO,,False
CAJA ACETATO 17X11X13,,False
CAJA CON 12 CAVIDADES,,False
CAJA CUPCAKE 2 CAV,,False
CAJA CUPCAKES 12,,False
